Tagname,TimeStamp,Value
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:05:03,44.05
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:07:40,44.05
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:07:41,43.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:07:44,43.325
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:09:47,43.325
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:09:48,42.4
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:14:03,42.4
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:14:04,41.8
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:18:56,41.8
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:18:57,40.9
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:23:57,40.9
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:28:57,40.9
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:29:17,40.9
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:29:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:34:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:39:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:44:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:49:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:54:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 10:59:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:04:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:09:18,40.025
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:14:18,40
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:19:18,40.025
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:20:58,39.95
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:21:01,39.2
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:26:01,39.2
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:27:41,39.2
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:27:42,38.3
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:32:15,38.3
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:32:16,37.5
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:35:34,37.5
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:35:35,36.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:36:09,36.65
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:36:12,36.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:36:15,36.65
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:36:18,36.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:36:30,36.65
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:36:33,36.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:36:51,36.65
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:36:54,36.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:37:12,36.65
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:37:15,36.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:38:18,36.65
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:38:21,36.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:38:38,36.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:38:39,37.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:41:03,37.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:41:04,38.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:45:56,38.7
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:45:57,39.5
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:48:57,39.5
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:48:58,40.225
WWSCADA2.BASIN3_16_VALVE_POS_PVENG.F_CV,9/1/2019 11:49:01,40.3
