Tagname,TimeStamp,Value
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:03:50,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:04:13,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:05:34,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:05:44,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:06:08,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:06:35,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:07:14,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:09:03,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:09:30,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:10:24,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:11:21,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:11:39,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:13:04,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:13:55,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:15:38,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:16:20,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:16:50,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:17:38,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:17:47,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:18:30,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:18:45,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:19:48,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:20:06,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:20:45,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:21:03,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:22:43,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:23:01,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:25:17,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:26:17,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:28:09,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:28:36,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:30:42,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:31:22,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:33:19,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:33:34,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:34:35,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:35:23,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:35:32,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:36:26,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:37:57,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:38:18,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:38:48,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:39:42,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:41:31,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:42:07,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:44:20,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:44:44,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:45:14,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:46:08,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:47:11,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:47:45,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:47:57,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:48:42,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:50:00,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:50:15,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:53:13,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:54:02,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:56:08,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:56:41,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:58:33,0.005
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 10:58:48,0.01
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 11:03:48,0.0075
WWSCADA2.BASIN3_8_DO_PVENG.F_CV,9/1/2019 11:08:48,0.0075
