Tagname,TimeStamp,Value
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:02:46,102.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:02:49,98.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:03:58,98.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:03:59,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:04:02,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:04:26,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:04:29,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:04:38,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:04:41,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:04:50,112.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:04:53,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:05:17,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:05:20,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:05:26,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:05:29,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:05:35,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:05:38,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:05:53,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:05:56,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:06:02,110.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:06:05,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:06:08,110.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:06:27,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:06:33,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:06:36,109.8
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:06:39,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:06:45,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:07:09,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:07:12,112.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:07:21,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:07:24,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:07:39,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:07:45,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:07:48,114.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:07:51,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:08:06,115.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:08:09,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:08:15,109.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:08:18,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:08:30,114.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:08:36,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:08:45,114.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:08:54,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:00,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:09,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:12,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:33,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:36,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:40,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:43,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:49,109.8
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:52,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:55,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:09:58,112.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:01,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:07,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:10,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:19,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:25,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:34,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:37,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:43,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:46,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:49,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:10:52,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:11:01,111
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:11:16,109.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:11:19,112.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:11:46,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:11:49,111.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:12:01,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:12:13,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:12:31,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:12:34,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:13:14,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:13:20,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:13:23,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:13:29,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:13:41,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:13:44,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:13:56,103.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:02,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:11,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:14,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:23,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:26,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:29,103.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:47,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:50,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:53,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:14:59,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:15:02,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:15:08,102.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:15:14,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:16:21,102.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:16:24,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:16:30,101.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:16:39,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:16:48,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:16:54,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:00,101.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:06,103.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:12,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:27,101.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:30,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:42,101.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:48,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:54,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:17:57,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:18:06,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:18:09,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:18:27,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:18:30,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:18:42,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:18:45,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:18:51,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:18:54,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:19:46,103.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:19:49,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:20:28,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:20:31,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:20:34,102.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:20:37,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:20:40,102.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:20:43,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:22:13,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:22:16,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:22:35,101.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:22:41,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:23:26,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:23:29,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:25:08,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:25:11,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:25:20,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:25:23,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:25:51,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:25:54,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:26:06,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:26:09,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:26:30,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:26:33,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:29:43,108
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:29:49,106.2
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:30:22,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:30:25,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:30:55,108.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:30:58,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:13,107.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:16,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:28,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:31,99.00001
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:34,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:40,98.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:46,101.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:52,98.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:31:55,100.8
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:32:01,99.00001
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:32:04,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:32:08,99.00001
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:32:14,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:32:17,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:32:20,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:32:56,105
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:33:02,102
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:33:11,104.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:33:41,101.4
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:33:44,105.6
WWSCADA2.BASIN3_8_FLOW_PVENG.F_CV,9/1/2019 10:34:11,102
