Tagname,TimeStamp,Value
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:31:52,3.84
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:31:55,3.935
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:13,3.905
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:14,3.905
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:15,3.905
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:16,3.91
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:17,3.91
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:18,3.91
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:19,3.91
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:20,3.91
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:21,3.91
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:22,3.9
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:23,3.9
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:24,3.905
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:25,3.86
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:26,3.86
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:27,3.86
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:28,3.855
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:29,3.855
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:30,3.855
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:31,3.84
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,9/4/2019 09:32:32,3.84
