Tagname,TimeStamp,Value
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:32:07,11.44389
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:32:22,11.49161
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:32:31,11.52472
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:32:37,11.55649
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:32:46,11.5062
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:32:52,11.551
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:32:55,11.61309
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:01,11.57411
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:10,11.62893
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:13,11.67792
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:22,11.61613
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:25,11.53174
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:28,11.47685
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:31,11.44018
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:34,11.4084
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:40,11.45522
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:49,11.49856
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:33:52,11.54018
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:34:26,11.62976
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:34:29,11.67067
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:34:35,11.63288
WWSCADA2.NIF11010_EFFL_FLOW.F_CV,8/29/2019 15:34:44,11.58945
