Tagname,TimeStamp,Value
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:43:53,0.97
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:44:02,0.9775
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:44:14,0.985
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:45:39,0.98
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:46:18,0.985
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:47:18,0.9925001
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:47:30,1
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:52:16,1
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:52:17,1.0325
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:52:47,1.025
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:52:56,1.0175
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:53:05,1.01
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:53:20,1.0025
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:53:29,0.995
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:53:50,1.005
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:53:56,1.0125
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:54:02,1.02
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:54:23,1.0125
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:54:30,1.005
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:54:39,0.995
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:55:09,1.005
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:55:24,1.015
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:55:42,1.005
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:55:51,0.995
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:55:57,0.9875
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:56:03,0.9775
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:56:09,0.9725
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:56:33,0.9775
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:56:42,0.985
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:57:09,0.9925001
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:57:21,1
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:57:33,1.0075
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:57:55,1
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:58:16,0.99
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:58:52,0.9974999
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:59:01,1.005
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:59:10,1.0125
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:59:22,1.0075
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:59:31,1
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 16:59:49,0.9925001
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:00:04,1
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:00:37,1.0075
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:01:11,1
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:01:41,1.01
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:01:47,1.0175
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:01:53,1.025
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:02:20,1.0175
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:02:29,1.01
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:03:11,1.0025
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:03:20,0.995
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:03:41,1.0025
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:03:50,1.01
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:04:12,1.0025
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:04:21,0.995
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:04:33,1.0025
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:04:39,1.01
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:04:45,1.02
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:04:51,1.03
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:05:00,1.0375
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:05:42,1.03
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:05:51,1.02
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:06:00,1.0125
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:06:03,1.0075
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:06:09,1
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:06:18,0.99
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:07:00,0.9974999
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:07:31,0.99
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:07:40,0.98
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:07:46,0.9725
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:07:58,0.965
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:08:31,0.9725
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:08:55,0.9625
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:09:01,0.955
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:09:10,0.945
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:09:13,0.9399999
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:09:34,0.945
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:09:43,0.9525
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:09:52,0.96
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:10:01,0.9675
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:10:13,0.975
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:10:53,0.965
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:11:50,0.955
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:11:56,0.945
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:12:14,0.955
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:12:20,0.96
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:12:26,0.97
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:12:35,0.9775
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:12:41,0.9725
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:12:47,0.965
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:12:53,0.955
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:12:59,0.9475
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:13:05,0.9399999
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:13:32,0.9475
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:13:38,0.9525
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:13:44,0.9625
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:13:51,0.97
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:14:00,0.98
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:14:09,0.985
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:14:27,0.98
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:14:42,0.9725
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:16:06,0.9775
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:17:13,0.985
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:17:22,0.98
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:17:49,0.9725
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:18:19,0.9775
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:22:31,0.9775
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:22:32,0.9575
WWSCADA2.BASIN3_16_DO_PVENG.F_CV,9/30/2019 17:22:44,0.9475
