Tagname,TimeStamp,Value
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:02,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:07,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:08,408.825
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:11,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:20,412.275
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:23,409.4
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:26,412.275
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:29,409.4
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:32,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:35,417.45
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:41,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:44,417.45
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:50,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:40:53,417.45
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:05,414.575
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:11,417.45
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:14,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:20,418.025
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:23,412.275
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:26,414.575
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:32,417.45
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:44,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:50,418.025
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:56,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:41:59,418.025
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:42:20,414.575
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:42:26,417.45
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:43:09,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:43:15,418.025
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:43:24,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:43:36,418.025
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:43:54,415.15
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:43:57,418.025
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:44:09,414.575
WWSCADA2.BASIN3_7_FLOW_PVENG.F_CV,10/6/2019 16:44:15,417.45
