Tagname,TimeStamp,Value
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 16:40:31,54.8
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 16:40:32,55.525
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 16:40:35,55.6
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 16:45:35,55.6
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 16:50:35,55.6
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 16:55:35,55.6
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 16:55:59,55.6
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 16:56:00,56.4
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:01:00,56.425
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:06:00,56.4
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:11:00,56.4
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:16:00,56.425
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:21:00,56.425
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:25:57,56.425
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:25:58,57.225
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:06,57.225
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:07,59.05
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:10,59.1
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:13,60.325
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:18,60.325
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:19,61.25
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:25,61.2
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:28,62.55
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:39,62.55
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:40,63.3
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:48,63.3
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:26:49,64.3
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:27:00,64.3
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:27:01,65.325
WWSCADA2.BASIN3_7_VALVE_POS_PVENG.F_CV,10/6/2019 17:27:21,65.325
