Tagname,TimeStamp,Value
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:37:55,5.805
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:37:58,5.75
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:03,5.75
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:04,5.82
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:07,5.805
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:10,5.78
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:13,5.75
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:16,5.72
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:19,5.735
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:22,5.715
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:25,5.685
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:28,5.635
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:31,5.62
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:37,5.6
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:40,5.585
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:43,5.56
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:46,5.545
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:52,5.515
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:55,5.5
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:38:58,5.48
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:01,5.44
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:04,5.37
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:07,5.385
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:10,5.4
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:25,5.415
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:30,5.415
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:31,5.37
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:34,5.34
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:37,5.31
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:40,5.365
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:43,5.39
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:49,5.42
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:52,5.44
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:55,5.49
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:39:58,5.51
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:40:01,5.565
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:40:06,5.565
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:40:07,5.515
WWSCADA2.NIA33391_AB3_AMMONIA.F_CV,10/9/2019 16:40:13,5.5
