Tagname,TimeStamp,Value
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:48:30,13.77
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:48:49,13.815
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:48:58,13.89
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:16,13.845
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:25,13.755
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:31,13.71
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:34,13.68
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:37,13.53
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:40,13.395
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:43,13.35
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:46,13.38
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:49:49,13.32
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:01,13.41
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:04,13.32
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:07,13.41
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:22,13.485
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:28,13.44
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:31,13.395
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:34,13.44
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:40,13.395
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:43,13.335
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:46,13.26
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:50:55,13.2
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:01,13.305
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:13,13.23
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:19,13.275
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:24,13.275
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:25,13.41
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:34,13.35
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:43,13.38
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:46,13.44
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:52,13.335
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:51:55,13.305
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:02,13.26
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:05,13.305
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:08,13.38
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:14,13.32
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:17,13.23
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:20,13.305
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:38,13.38
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:41,13.44
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:44,13.35
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:47,13.305
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:50,13.23
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:53,13.185
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:52:59,13.26
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:02,13.335
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:08,13.41
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:11,13.455
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:22,13.455
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:23,13.605
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:26,13.77
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:29,13.89
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:35,13.845
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:38,13.74
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:44,13.785
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:47,13.935
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:50,13.995
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:53,13.935
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:53:56,13.98
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:02,13.89
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:05,13.785
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:11,13.83
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:14,13.905
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:17,13.995
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:20,14.205
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:23,14.37
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:26,14.43
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:32,14.34
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:41,14.4
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:47,14.325
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:50,14.265
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:53,14.325
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:54:59,14.28
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:02,14.325
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:05,14.4
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:08,14.445
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:11,14.37
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:18,14.325
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:21,14.28
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:24,14.415
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:30,14.295
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:33,14.22
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:42,14.175
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:45,14.28
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:48,14.325
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:51,14.28
WWSCADA2.NIF31053_PE_TO_ABAS_FLOW.F_CV,9/27/2019 16:55:54,14.205
