Tagname,TimeStamp,Value
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 16:40:57,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 16:45:57,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 16:50:57,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 16:55:57,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:00:57,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:05:57,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:10:57,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:15:57,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:20:57,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:25:33,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:25:34,0.255
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:25:37,0.225
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:25:40,0.285
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:25:43,0.225
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:25:46,0.27
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:25:52,0.225
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:25:55,0.255
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:01,0.285
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:04,0.24
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:10,0.285
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:13,0.255
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:16,0.285
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:28,0.225
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:31,0.285
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:34,0.33
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:37,0.39
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:40,0.33
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:43,0.375
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:49,0.315
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:26:52,0.375
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:04,0.315
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:07,0.39
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:10,0.36
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:13,0.39
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:16,0.33
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:19,0.375
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:25,0.315
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:28,0.375
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:31,0.315
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:40,0.255
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:43,0.33
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:46,0.3
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:52,0.255
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:27:58,0.315
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:01,0.255
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:04,0.33
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:07,0.3
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:10,0.27
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:13,0.315
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:16,0.27
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:19,0.33
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:22,0.3
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:31,0.27
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:34,0.33
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:37,0.135
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:40,0.195
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:47,0.165
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:50,0.21
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:53,0.15
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:56,0.21
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:28:59,0.165
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:05,0.195
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:14,0.15
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:17,0.21
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:20,0.165
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:23,0.21
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:26,0.18
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:29,0.15
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:32,0.21
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:35,0.165
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:41,0.21
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:44,0.135
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:47,0.18
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:50,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:29:59,0.09
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:05,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:08,0.075
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:14,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:17,0.075
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:20,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:23,0.075
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:32,0.03
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:38,0.075
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:30:50,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:35:50,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:40:50,0.03
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:45:50,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:50:50,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 17:55:50,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:00:50,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:05:50,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:10:50,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:15:50,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:20:50,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:23:12,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:23:15,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:23:18,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:23:22,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:23:24,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:23:28,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:23:34,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:23:37,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:24:07,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:24:10,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:24:16,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:24:25,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:24:28,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:25:07,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:25:13,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:25:28,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:25:31,0.06
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:25:43,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:30:43,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:35:43,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:40:43,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:42:37,0.045
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:42:46,0
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:42:49,0.06
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:43:10,0.015
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:43:13,0.075
WWSCADA2.NIR33391_AB3_Z3_NITRATE.F_CV,10/9/2019 18:43:16,0
