Tagname,TimeStamp,Value
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:36:36,1.03
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:36:39,1.02
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:36:42,1.0075
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:36:45,0.9925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:36:48,0.9775
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:36:51,0.9675
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:36:54,0.955
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:36:57,0.945
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:37:06,0.935
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:37:09,0.9525
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:37:22,0.97
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:37:31,0.98
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:37:34,0.9925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:37:40,1.0075
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:37:43,1.0175
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:37:46,1.03
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:01,1.02
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:04,1.0375
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:07,1.03
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:10,1.0425
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:16,1.0525
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:19,1.065
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:25,1.075
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:28,1.0825
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:34,1.075
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:37,1.0625
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:49,1.055
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:54,1.055
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:38:55,1.02
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:00,1.02
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:01,0.9925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:04,0.9825
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:07,0.9725
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:16,0.965
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:25,0.9575
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:31,0.965
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:34,0.9525
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:37,0.965
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:46,0.9575
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:49,0.9725
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:55,0.965
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:39:58,0.9725
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:40:07,0.955
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:40:32,0.965
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:40:35,0.9525
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:40:38,0.96
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:40:50,0.9525
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:41:05,0.935
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:41:08,0.9425
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:41:23,0.9575
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:41:26,0.965
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:41:29,0.9725
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:41:32,0.9925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:41:41,1.0025
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:41:50,0.9925
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:08,0.9825
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:14,0.9725
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:20,0.96
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:29,0.9725
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:32,0.96
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:35,0.9525
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:41,0.935
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:44,0.9425
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:50,0.9325
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:42:59,0.92
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:43:02,0.9325
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:43:05,0.9175
WWSCADA2.NIX33384_AB3_Z8_DO.F_CV,10/9/2019 16:43:20,0.9274999
