Tagname,TimeStamp,Value
WWSCADA2.NR4242.F_CV,9/30/2019 16:47:40,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:47:43,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:47:44,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:47:45,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:47:46,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:47:47,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:47:58,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:47:59,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:00,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:03,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:04,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:07,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:11,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:12,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:15,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:16,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:20,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:23,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:25,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:26,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:30,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:31,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:35,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:38,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:39,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:42,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:43,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:44,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:49,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:50,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:55,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:57,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:48:59,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:04,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:05,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:07,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:09,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:10,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:15,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:22,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:24,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:26,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:29,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:30,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:34,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:36,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:38,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:41,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:44,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:45,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:47,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:49,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:53,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:55,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:49:57,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:00,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:05,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:06,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:08,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:11,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:14,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:16,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:18,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:21,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:23,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:25,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:33,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:34,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:37,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:40,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:43,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:45,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:49,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:50,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:52,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:55,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:50:57,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:00,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:01,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:04,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:09,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:10,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:14,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:16,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:18,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:21,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:22,9.91
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:25,9.92
WWSCADA2.NR4242.F_CV,9/30/2019 16:51:33,9.91
